Wed Feb  1 22:27:54 2023 | Энвер | Рациональные : 98 / 2 = 49.0
Wed Feb  1 22:27:59 2023 | Энвер | Рациональные : 78 / 5 = 15.6
Wed Feb  1 22:28:17 2023 | Энвер | Комплексные : 45 + 5 = (50+0j)
